kituu[V][Intr][Intrg][S_2Sg]	kituusit
nante[V][Intr][Intrg][S_2Sg]	nancit
ca-–qatar[V→V][V][Intr][Intrg][S_2Sg]	caqatarcit
ane-@~+yug[V→V][V][Intr][Intrg][S_2Sg]	anyugcit
ayuqe[V][Intr][Intrg][S_2Sg]	ayuqsit
tekite[V][Intr][Intrg][S_2Sg]	tekicit
maa[DemAdv][Loc]-ete[V][Intr][Intrg][S_2Sg]	maancit
ayag-+ciqe–/@ciiqe[V→V][V][Intr][Intrg][S_2Sg]	ayagciqsit
nere-@~+yug[V→V][V][Intr][Intrg][S_2Sg]	neryugcit
niicugni[V][Intr][Intrg][S_2Sg]	niicugnisit
aline[V][Intr][Intrg][S_2Sg]	alingsit
pi-@~+yug[V→V][V][Intr][Intrg][S_2Sg]	piyugcit
ca-@~+yug[V→V][V][Intr][Intrg][S_2Sg]	cayugcit
ca-––li[N→V][V][Intr][Intrg][S_2Sg]	calisit
ca-~+miu[N→N]-%:~(ng)u[N→V][V][Intr][Intrg][S_2Sg]	camiungusit
qimugte-–ngqerr[N→V][V][Intr][Intrg][S_2Sg]	qimugtengqercit
irniar-–ngqerr[N→V][V][Intr][Intrg][S_2Sg]	irniangqercit
pite-–llru[V→V][V][Intr][Intrg][S_2Sg]	pitellrusit
allrakur-–ngqerr[N→V][V][Intr][Intrg][S_2Sg]	allrakungqercit
qavcir[V][Intr][Intrg][S_2Sg]	qavcircit
pi[V][Intr][Intrg][S_2Sg]	pisit
uita[V][Intr][Intrg][S_2Sg]	uitasit
tai[V][Intr][Intrg][S_2Sg]	taisit
ayag-–qatar[V→V][V][Intr][Intrg][S_2Sg]	ayakatarcit
alike[V][Trns][Intrg][A_2Sg][P_1Sg]	aliksia
ceńirte-+ciqe–/@ciiqe[V→V][V][Trns][Intrg][A_2Sg][P_1Pl]	ceńirciiqsikut
elli-–llru[V→V][V][Trns][Intrg][A_2Sg][P_3Sg]	ellillrusiu
seg-@~+yug[V→V]-–nrite[V→V][V][Trns][Intrg][A_2Sg][P_3Pl]	segyunriciki
kipute-–llru[V→V][V][Trns][Intrg][A_2Sg][P_3Du]	kiputellrusikek
pi-–lar[V→V][V][Trns][Intrg][A_2Sg][P_3Sg]	pilarciu
qanrute-–llru[V→V][V][Trns][Intrg][A_2Sg][P_3Sg]	qanrutellrusiu
nunur-–llru[V→V][V][Trns][Intrg][A_2Sg][P_3Sg]	nunullrusiu
tune-–llru[V→V][V][Trns][Intrg][A_2Sg][P_3Sg]	tunellrusiu
qanrute-–llru[V→V][V][Trns][Intrg][A_2Sg][P_3Pl]	qanrutellrusiki
atur-+ciqe–/@ciiqe[V→V][V][Trns][Intrg][A_2Sg][P_3Pl]	aturciqsiki
tune-–qatar[V→V][V][Trns][Intrg][A_2Sg][P_3Du]	tunqatarcikek
nere[V][Intr][Intrg][S_2Pl]	nerceci
ca-+ciqe–/@ciiqe[V→V][V][Intr][Intrg][S_1Du]	caciqceńuk
qavar-+ciqe–/@ciiqe[V→V][V][Intr][Intrg][S_1Pl]	qavarciqceta
