cali[V][Intr][Opt][PRS][S_2Sg]	cali
uita[V][Intr][Opt][PRS][S_2Sg]	uita
tai[V][Intr][Opt][PRS][S_2Sg]	taigi
tai[V][Intr][Opt][PRS][S_2Sg]	taitai
kiu[V][Intr][Opt][PRS][S_2Sg]	kiugi
eke[V][Intr][Opt][PRS][S_2Sg]	eki
ane[V][Intr][Opt][PRS][S_2Sg]	ani
inarte[V][Intr][Opt][PRS][S_2Sg]	inarten
makte[V][Intr][Opt][PRS][S_2Sg]	makten
qia-–nrite[V→V][V][Intr][Opt][PRS][S_2Sg]	qianrilu
iter[V][Intr][Opt][PRS][S_2Sg]	itra
eqiur[V][Intr][Opt][PRS][S_2Sg]	eqiura
mayur[V][Intr][Opt][PRS][S_2Sg]	mayua
qavar[V][Intr][Opt][PRS][S_2Sg]	qavaa
ayag[V][Intr][Opt][PRS][S_2Sg]	ayii
pi-@+'(g/t)ur(ar)[V→V][V][Intr][Opt][PRS][S_2Sg]	piuraa
pi-@+'(g/t)ur(ar)[V→V][V][Intr][Opt][PRS][S_2Sg]	piura
kagi[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	kagiu
tegu[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	teguu
kiu[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	kiugiu
naspaa[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	naspaagiu
nere[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	neriu
tune[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	tuniu
pike[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	pikiu
kipute[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	kipusgu
ikirte[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	ikiresgu
mumigte[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	mumigesgu
nere-–nrite[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Sg]	nerenrilgu
atur[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	aturru
elag[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	elaggu
keleg[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	kelʼggu
keleg[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	kellgu
taite[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	taisgu
cikir[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	cikirru
tune[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	tuniu
tegu[V][Trns][Opt][PRS][A_2Sg][P_3Pl]	teguki
naspaa[V][Trns][Opt][PRS][A_2Sg][P_3Pl]	naspaaki
naspaa[V][Trns][Opt][PRS][A_2Sg][P_3Pl]	naspaagiki
nere[V][Trns][Opt][PRS][A_2Sg][P_3Pl]	nerki
nere[V][Trns][Opt][PRS][A_2Sg][P_3Pl]	neriki
maligte[V][Trns][Opt][PRS][A_2Sg][P_1Pl]	maligeskut
maligte[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	maligesnga
alike-–nrite[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Pl]	alikenrilki
alike-–nrite[V→V][V][Trns][Opt][PRS][A_2Sg][P_1Sg]	alikenrilnga
neqliur[V][Trns][Opt][PRS][A_2Sg][P_3Pl]	neqliurki
callmag[V][Trns][Opt][PRS][A_2Sg][P_3Du]	callmagkek
ikayur[V][Trns][Opt][PRS][A_2Sg][P_1Pl]	ikayurkuk
ikayur[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	ikayurnga
utaqa[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	utaqanga
niicugni[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	niicugninga
taringe[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	taringenga
taringe[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	taringia
kiu[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	kiunga
kiu[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	kiugia
iter[V][Intr][Opt][PRS][S_2Pl]	iterci
inarte[V][Intr][Opt][PRS][S_2Pl]	inarci
qavar[V][Intr][Opt][PRS][S_2Pl]	qavarci
tai[V][Intr][Opt][PRS][S_2Pl]	taici
tai[V][Intr][Opt][PRS][S_2Pl]	taigici
nere[V][Intr][Opt][PRS][S_2Pl]	nerci
nere[V][Intr][Opt][PRS][S_2Pl]	nerici
qulite[V][Intr][Opt][PRS][S_2Pl]	qulici
alike-–nrite[V→V][V][Trns][Opt][PRS][A_2Pl][P_3Pl]	alikenriciki
atur[V][Trns][Opt][PRS][A_2Pl][P_3Sg]	aturciu
ikayur[V][Trns][Opt][PRS][A_2Pl][P_1Pl]	ikayurcikut
maligte[V][Trns][Opt][PRS][A_2Pl][P_3Du]	maligcikek
ikayur[V][Trns][Opt][PRS][A_2Pl][P_1Sg]	ikayurcia
nere[V][Intr][Opt][PRS][S_1Pl]	nerelta
nere[V][Intr][Opt][PRS][S_1Du]	nerluk
uterte[V][Intr][Opt][PRS][S_1Pl]	utertelta
uterte[V][Intr][Opt][PRS][S_1Du]	uterrluk
eqiur[V][Intr][Opt][PRS][S_1Pl]	eqiulta
eqiur[V][Intr][Opt][PRS][S_1Du]	eqiurluk
iter[V][Intr][Opt][PRS][S_1Pl]	itelta
iter[V][Intr][Opt][PRS][S_1Du]	iterluk
manar[V][Intr][Opt][PRS][S_1Pl]	manalta
manar[V][Intr][Opt][PRS][S_1Du]	manarluk
ayag[V][Intr][Opt][PRS][S_1Pl]	ayalta
ayag[V][Intr][Opt][PRS][S_1Du]	ayagluk
nere[V][Intr][Opt][FUT][S_1Pl]	nerkilta
atur[V][Trns][Opt][FUT][A_2Sg][P_3Pl]	atuqiki
ceńirte[V][Trns][Opt][FUT][A_2Sg][P_3Sg]	ceńireskiu
nere-–nrite[V→V][V][Intr][Opt][FUT][S_1Du]	nerenrilkiluk
tai[V][Intr][Opt][FUT][S_2Sg]	taikina
ceńirte[V][Trns][Opt][FUT][A_2Sg][P_1Sg]	ceńireskia
ayag[V][Intr][Opt][FUT][S_1Pl]	ayakilta
nere[V][Trns][Opt][FUT][NEG][A_2Sg][P_3Pl]	neryaqunaki
alike[V][Trns][Opt][FUT][NEG][A_2Sg][P_1Pl]	aliksaqunakut
unite[V][Trns][Opt][FUT][NEG][A_2Sg][P_1Sg]	unicaqunacia
ayag[V][Intr][Opt][FUT][NEG][S_2Pl]	ayagyaqunaci
ayag-–nrite[V→V][V][Intr][Opt][FUT][S_1Pl]	ayanrilkilta
nere[V][Intr][Opt][FUT][NEG][S_2Sg]	neryaqunak
nere[V][Trns][Opt][FUT][NEG][A_2Sg][P_3Sg]	neryaqunaku
alike[V][Trns][Opt][FUT][NEG][A_2Sg][P_1Sg]	aliksaqunii
qia[V][Intr][Opt][PRS][NEG][S_2Sg]	qiaviiqnak
kuuvviar[V][Intr][Opt][FUT][NEG][S_2Pl]	kuuvviarpiiqnaci
nere-@~+naur[V→V][V][Intr][Ind][S_1Pl]	nernaurtukut
tai-–qar[V→V][V][Intr][Opt][PRS][S_2Sg]	taiqaa
callmag-–qar[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Sg]	callmakarru
nere-–qar[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Pl]	nerqerki
apte-–qar[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Sg]	apteqerru
tangerr-–qar[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Sg]	tangerqerru
atʼe-–qar[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Sg]	atʼeqerru
ciku-:(ng)ir[N→V][V][Intr][Ind][S_3Sg]	cikuirtuq
ciku-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	cikuiraa
iqar-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	iqairaa
amir-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	amiiraa
ungag-:(ng)ir[N→V][V][Intr][Ind][S_3Sg]	ungairtuq
ii-:(ng)ir[N→V][V][Intr][Ind][S_3Sg]	iingirtuq
[e]ne-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	enairaa
paltuug-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	paltuugia
qule-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	qulairaa
canir-:(ng)ir[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	caniiraa
itʼgar-:(ng)ir(ar)[N→V][V][Intr][Ind][S_1Sg]	itʼgairtua
itʼgar-:(ng)ir(ar)[N→V][V][Trns][Ind][A_3Sg][P_1Sg]	itʼgairaraanga
itʼgar-:(ng)ir(ar)[N→V]-–llru[V→V][V][Intr][Ind][S_1Sg]	itʼgairallruunga
itʼgar-:(ng)ir(ar)[N→V]-–llru[V→V][V][Trns][Ind][A_3Sg][P_1Sg] itʼgairallruanga
utaqa-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	utaqamauq
ini-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	inimauq
tuqu-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	tuqumauq
qercua-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	qercuamauq
ane-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	anumauq
nere-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	nerumauq
ayag-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	ayaumauq
iter-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	itrumauq
makte-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	makcimauq
kitugte-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	kitugcimauq
aqume-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	aqumumauq
aqume-:(u/i)ma[V→V][V][Intr][Ind][S_3Sg]	aqumgauq
aqumga[V][Intr][Ind][S_3Sg]	aqumgauq
nere[V][Intr][Opt][FUT][S_2Sg]=gguq[Encl]	nerkina-gguq
taqe-@~+ngaite[V→V][V][Intr][Ind][S_3Sg]=gguq[Encl]	taqngaituq-gguq
nukalpiar[N][Abs][Unpd][Sg]=gguq[Encl]	nukalpiaq-gguq
maa[DemAdv][Ter]+virte[N→V][V][Intr][Ind][S_3Sg]	maavirtuq
maa[DemAdv][Sec_Ter]+tmurte[N→V][V][Intr][Ind][S_3Sg]	maatmurtuq
