nere[V][Trns][Ind][A_1Sg][P_3Sg]	nerʼaqa
nere[V][Trns][Ind][A_1Sg][P_3Pl]	nerʼanka
nere[V][Trns][Ind][A_1Sg][P_3Du]	nerʼagka
nere[V][Trns][Ind][A_2Sg][P_3Sg]	nerʼan
nere[V][Trns][Ind][A_2Sg][P_3Pl]	nerʼaten
nere[V][Trns][Ind][A_1Pl][P_3Sg]	nerʼaput
nere[V][Trns][Ind][A_1Pl][P_3Pl]	nerʼaput
nere[V][Trns][Ind][A_2Pl][P_3Sg]	nerʼaci
nere[V][Trns][Ind][A_2Pl][P_3Pl]	nerʼaci
nere[V][Trns][Ind][A_3Sg][P_3Sg]	neraa
nere[V][Trns][Ind][A_3Sg][P_3Pl]	nerai
nere[V][Trns][Ind][A_3Pl][P_3Sg]	neraat
nere[V][Trns][Ind][A_3Pl][P_3Sg]	neraak
nere[V][Trns][Ind][A_3Sg][P_3Du]	nerʼak
kiu[V][Trns][Ind][A_3Sg][P_3Pl]	kiugai
pissur[V][Trns][Ind][A_3Sg][P_3Sg]	pissuraa
nere-–llru[V→V][V][Trns][Ind][A_3Sg][P_3Pl]	nerellrui
nuteg[V][Trns][Ind][A_3Sg][P_3Sg]	nutgaa
qilug[V][Trns][Ind][A_3Sg][P_3Sg]	qilugaa
ikamrar-––li[N→V][V][Intr][Ind][S_3Sg]	ikamraliuq
ikamrar-––li[N→V][V][Trns][Ind][A_3Sg][P_3Sg]	ikamralia
igte[V][Intr][Ind][S_3Sg]	igtuq
take[V][Intr][Ind][S_3Sg]	takʼuq
tegu[V][Trns][Ind][A_3Sg][P_3Sg]	tegua
kenir[V][Intr][Ind][S_3Sg]	kenirtuq
kenir[V][Trns][Ind][A_3Sg][P_3Sg]	keniraa
nunur[V][Trns][Ind][A_3Sg][P_3Sg]	nunuraa
nunur[V][Trns][Ind][A_3Sg][P_3Pl]	nunurai
nunur[V][Trns][Ind][A_3Pl][P_3Sg]	nunuraat
nunur[V][Trns][Ind][A_3Pl][P_3Pl]	nunurait
nunur[V][Trns][Ind][A_1Sg][P_3Sg]	nunuraqa
nunur[V][Trns][Ind][A_1Sg][P_3Sg]	nunuʼrqa
nunur[V][Trns][Ind][A_1Sg][P_3Pl]	nunuranka
ceńirte-@~+yug[V→V][V][Trns][Ind][A_1Du][P_3Pl]	ceńircugapuk
ceńirte-@~+yug[V→V][V][Trns][Ind][A_3Sg][P_3Pl]	ceńircugai
tangerr[V][Trns][Ind][A_3Sg][P_3Sg]	tangrraa
tangerr[V][Trns][Ind][A_3Sg][P_3Pl]	tangrrai
niicugni-@~+yug[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	niicugniyuganka
naveg[V][Trns][Ind][A_3Sg][P_3Sg]	navgaa
kuve[V][Trns][Ind][A_3Sg][P_3Sg]	kuvaa
tamar[V][Trns][Ind][A_3Sg][P_3Sg]	tamaraa
ayag-+ciqe/@ciiqe[V→V][V][Intr][Ind][S_1Sg]	ayagciqua
tamar-+'(g)i[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	tamarillruuq
