neqliur[V][Intr][Prec][S_3Sg]	neqliurpailgan
neqliur[V][Intr][Prec][S_4Sg]	neqliurpailegmi
neqliur[V][Intr][Prec][S_1Sg]	neqliurpailegma
neqliur[V][Trns][Prec][A_3Sg][P_3Sg]	neqliurpailgaku
neqliur[V][Trns][Prec][A_4Sg][P_3Sg]	neqliurpailegmiu
ermig[V][Intr][Prec][S_1Sg]	ermigpailegma
ermig[V][Intr][Prec][S_1Pl]	ermigpailemta
ermig[V][Intr][Prec][S_2Pl]	ermigpailegpeci
ermig[V][Intr][Prec][S_3Sg]	ermigpailgan
ermig[V][Intr][Prec][S_4Sg]	ermigpailegmi
cali[V][Intr][Prec][S_2Sg]	calivailegpet
aqume[V][Intr][Prec][S_2Sg]	aqumvailegpet
taqe[V][Intr][Prec][S_2Sg]	taqvailegpet
inarte[V][Intr][Prec][S_2Sg]	inarpailegpet
tegute[V][Intr][Prec][S_2Sg]	tegupailegpet
qavar[V][Intr][Prec][S_2Sg]	qavarpailegpet
ceńirte[V][Trns][Prec][A_3Sg][P_3Sg]	ceńirpailgaku
ceńirte[V][Trns][Prec][A_3Sg][P_3Pl]	ceńirpailgaki
ceńirte[V][Trns][Prec][A_1Sg][P_3Sg]	ceńirpailemku
ceńirte[V][Trns][Prec][A_1Pl][P_3Sg]	ceńirpailemteggu
ceńirte[V][Trns][Prec][A_1Sg][P_2Sg]	ceńirpailemken
ceńirte[V][Trns][Prec][A_2Sg][P_3Sg]	ceńirpailegpegu
ceńirte[V][Trns][Prec][A_2Sg][P_1Sg]	ceńirpailegpenga
ceńirte[V][Trns][Prec][A_3Sg][P_1Sg]	ceńirpailganga
ceńirte[V][Trns][Prec][A_3Sg][P_2Sg]	ceńirpailgaten
ceńirte[V][Trns][Prec][A_3Pl][P_1Pl]	ceńirpailgatkut
ceńirte[V][Trns][Prec][A_4Sg][P_3Sg]	ceńirpailegmiu
ceńirte[V][Trns][Prec][A_4Sg][P_3Sg]	ceńirpailegminiu
ceńirte[V][Trns][Prec][A_4Sg][P_1Sg]	ceńirpailegmia
ceńirte[V][Trns][Prec][A_4Sg][P_2Sg]	ceńirpailegmiten
ceńirte[V][Trns][Prec][A_4Pl][P_3Pl]	ceńirpailegmegteki
ceńirte[V][Trns][Prec][A_1Sg][P_4Sg]	ceńirpailegmni
ceńirte[V][Trns][Prec][A_1Sg][P_4Pl]	ceńirpailegmteng
ceńirte[V][Trns][Prec][A_1Pl][P_4Pl]	ceńirpailegmceteng
ceńirte[V][Trns][Prec][A_2Sg][P_4Sg]	ceńirpailegpeni
ceńirte[V][Trns][Prec][A_3Sg][P_4Sg]	ceńirpailgani
tangerr[V][Trns][Prec][A_3Pl][P_3Pl]	tangerpailgatki
maligte[V][Trns][Prec][A_4Sg][P_2Sg]	maligpailegmiten
maligte[V][Trns][Prec][A_2Sg][P_4Sg]	maligpailegpeni
maligte[V][Intr][Prec][S_4Sg]	maligpailegmi
nere[V][Intr][Prec][S_3Sg]	nervailgan
cali[V][Intr][Cnsq][S_1Sg]	caliama
naulluu[V][Intr][Prec][S_2Sg]	naulluungavet
aqume[V][Intr][Prec][S_4Sg]	aqumngami
inarte[V][Intr][Prec][S_1Sg]	inarcama
tekite[V][Intr][Prec][S_1Sg]	tekicama
nere-–ksaite[V→V][V][Intr][Prec][S_1Sg]	nereksailama
iter[V][Intr][Prec][S_1Sg]	itrama
kaig[V][Intr][Prec][S_1Sg]	kaigama
pinir[V][Intr][Prec][S_1Sg]	piniama
tupag[V][Intr][Prec][S_1Sg]	tupiima
naulluu[V][Intr][Prec][S_3Sg]	naulluungan
nengllir[V][Intr][Prec][S_3Sg]	nengllian
uterte-–llru[V→V][V][Intr][Prec][S_3Pl]	utertellruata
ikayur-–llru[V→V][V][Trns][Prec][A_2Sg][P_1Sg]	ikayullruavnga
kaig[Intr][Prec][S_4Pl]	kaigameng
mertar-@:(u)te[V→V]-–llru[V→V][V][Trns][Prec][A_1Sg][P_4Pl]	mertautellruamteng
mertar-@:(u)te[V→V][V][Trns][Prec][A_1Sg][P_4Pl]	mertaucamteng
