tangerr[V][Trns][Ind][A_3Sg][P_1Sg]	tangrraanga
tangerr[V][Trns][Ind][A_3Pl][P_1Sg]	tangrraatnga
tangerr[V][Trns][Ind][A_3Sg][P_1Pl]	tangrraakut
tangerr[V][Trns][Ind][A_3Pl][P_1Pl]	tangrraitkut
tangerr[V][Trns][Ind][A_3Sg][P_2Sg]	tangrraaten
tangerr[V][Trns][Ind][A_3Pl][P_2Sg]	tangrraatgen
tangerr[V][Trns][Ind][A_3Sg][P_2Pl]	tangrraaci
tangerr[V][Trns][Ind][A_3Pl][P_2Pl]	tangrraiceci
kegge-@~+yug[V→V][V][Trns][Ind][A_3Sg][P_1Sg]	keggsugaanga
qilug[V][Trns][Ind][A_3Pl][P_1Pl]	qilugaitkut
cikir-+ciqe/@ciiqe[V→V][V][Trns][Ind][A_3Sg][P_2Sg]	cikirciqaaten
igar-@~+ngaite[V→V][V][Trns][Ind][A_3Pl][P_2Pl]	igarngaitaiceci
qerrute[V][Trns][Ind][A_3Sg][P_1Sg]	qerrutaanga
ciku[V][Trns][Ind][A_3Sg][P_3Sg]	cikua
kumlate[V][Trns][Ind][A_3Sg][P_3Pl]	kumlatai
urug[V][Trns][Ind][A_3Sg][P_3Sg]	urugaa
anngar[N][Rel][1SgPoss][SgPosd]	anngama
anngar[N][Rel][1SgPoss][PlPosd]	anngama
anngar[N][Rel][1PlPoss][SgPosd]	anngamta
anngar[N][Rel][1PlPoss][PlPosd]	anngamta
anngar[N][Rel][2SgPoss][SgPosd]	anngavet
anngar[N][Rel][2SgPoss][PlPosd]	anngavet
anngar[N][Rel][2PlPoss][SgPosd]	anngavci
anngar[N][Rel][2PlPoss][PlPosd]	anngavci
anngar[N][Rel][2SgPoss][SgPosd]	anngarpet
anngar[N][Rel][2SgPoss][PlPosd]	anngarpet
anngar[N][Rel][2PlPoss][SgPosd]	anngarpeci
anngar[N][Rel][2PlPoss][PlPosd]	anngarpeci
nuna[N][Loc][1SgPoss][SgPosd]	nunamni
angyar[N][Ter][2SgPoss][SgPosd]	angyavnun
angyar[N][Ter][2SgPoss][SgPosd]	angyarpenun
[e]ne[N][Abl_Mod][1PlPoss][SgPosd]	nemteńek
[e]ne[N][Abl_Mod][1PlPoss][PlPosd]	nemteńek
aana[N][Ter][2PlPoss][SgPosd]	aanavceńun
aata[N][Equ][1SgPoss][SgPosd]	aatamtun
angyar[N][Via][2SgPoss][SgPosd]	angyavkun
angyar[N][Via][2SgPoss][SgPosd]	angyarpegun
nuna[N][Via][2PlPoss][SgPosd]	nunavcetgun
qimugte[N][Equ][1PlPoss][SgPosd]	qimugtemcetun
irur[N][Via][1SgPoss][SgPosd]	irumkun
ciute[N][Via][2SgPoss][SgPosd]	ciutevkun
itʼgar[N][Via][1SgPoss][SgPosd]	itʼgamkun
itʼgar[N][Ter][1SgPoss][SgPosd]	itʼgamnun
itʼgar[N][Loc][1SgPoss][SgPosd]	itʼgamni
kuig[N][Via][Unpd][Sg]	kuigkun
kaminiar[N][Via][Unpd][Sg]	kaminiakun
egate[N][Via][Unpd][Sg]	egatekun
nuteg[N][Via][Unpd][Sg]	nutegkun
egaler[N][Via][Unpd][Sg]	egalerkun
ayag-–llru[V→V]-@~+yugnarqe[V→V][V][Intr][Ind][S_3Sg]	ayallruyugnarquq
atur-+ciqe/@ciiqe[V→V]-@~+yugnarqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	aturciqsugnarqaa
tangerr-–ksaite[V→V]-@~+yugnarqe[V→V][V][Trns][Ind][A_3Pl][P_2Pl]	tangeqsaicugnarqaiceci
angyar-––li[N→V]-–ngnaqe[V→V]-+ciqe/@ciiqe[V→V][V][Intr][Ind][S_1Sg]	angyalingnaqciqua
ikayur-–ngnaqe[V→V][V][Trns][Ind][A_3Sg][P_2Sg]	ikayungnaqaaten
iter-@~+yaaqe[V→V][V][Intr][Ind][S_3Sg]	iteryaaquq
qanrute-@~+yaaqe[V→V][V][Trns][Ind][A_1Sg][P_3Sg]	qanrucaaqaqa
angyar-––li[N→V]-–ngnaqe[V→V]-@~+yaaqe[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	angyalingnaqsaaqellruuq
alinge-@~+yaaqe[V→V]-–llru[V→V][V][Intr][Ind][S_1Pl]	alingyaaqellruukut
alinge-–llru[V→V]-@~+yaaqe[V→V][V][Intr][Ind][S_1Pl]	alingellruyaaqukut
nere-@~+yug[V→V]-@~+yaaqe[V→V][V][Intr][Ind][S_1Sg]	neryugyaaqua
ayag-–llru[V→V]-–llini[V→V][V][Intr][Ind][S_3Sg]	ayallrulliniuq
nere-–llini[V→V][V][Trns][Ind][A_3Sg][P_3Pl]	nerrlinii
tekite-–llini[V→V][V][Intr][Ind][S_3Sg]	tekitelliniuq
mayur-–llini[V→V][V][Intr][Ind][S_3Sg]	mayulliniuq
nipe-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	niptaa
tuqu-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	tuqutaa
ane-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	antaa
iter-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	itertaa
mayur-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	mayurtaa
atrar-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	atrartaa
tupag-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	tupagtaa
uita-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	uitataa
igte-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	igcetaa
urug-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	urugtaa
asme-+te[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	asemtaa
kuve[V][Trns][Ind][A_3Sg][P_3Sg]	kuvaa
naveg[V][Trns][Ind][A_3Sg][P_3Sg]	navgaa
tamar[V][Trns][Ind][A_3Sg][P_3Sg]	tamaraa
eke[V][Trns][Ind][A_3Sg][P_3Sg]	ekaa
