nere[V][Intr][Opt][PRS][S_2Sg]	neri
tegu[V][Trns][Opt][PRS][A_2Sg][P_3Sg]	teguu
ikayur[V][Trns][Opt][PRS][A_2Sg][P_1Sg]	ikayurnga
nere[V][Intr][Opt][PRS][S_1Pl]	nerelta
ayag[V][Intr][Opt][PRS][S_1Du]	ayagluk
nere[V][Intr][Opt][PRS][S_1Pl]	nerelta
nere[V][Intr][Opt][PRS][S_1Sg]	nerlii
nere-@+cete/.vkar[V→V][V][Trns][Opt][PRS][A_2Sg][P_1Sg]	nerevkarnga
inarte[V][Intr][Opt][PRS][S_1Sg]	inarrlii
mer-–rraar[V→V][V][Intr][Opt][PRS][S_1Sg]	merraarlii
pi-–ngnaqe[V→V]-–nqigte[V→V][V][Intr][Opt][PRS][S_1Sg]	pingnaqenqigglii
ikayur[V][Trns][Opt][PRS][A_1Sg][P_2Sg]	ikayurlaken
ikayur[V][Trns][Opt][PRS][A_1Sg][P_2Sg]	ikayurlamken
tangerr[V][Trns][Opt][PRS][A_1Sg][P_3Pl]	tangerrlaki
atur[V][Trns][Opt][PRS][A_1Pl][P_3Pl]	aturlaput
atur[V][Trns][Opt][PRS][A_1Pl][P_3Sg]	aturlaut
nere-@+cete/.vkar[V→V][V][Trns][Opt][PRS][A_2Sg][P_3Sg]	nerevkarru
ane[V][Intr][Opt][PRS][S_3Pl]	anlit
atur[V][Trns][Opt][PRS][A_3Sg][P_3Sg]	aturliu
nere[V][Trns][Opt][PRS][A_3Pl][P_3Pl]	nerlitki
maligte[V][Trns][Opt][PRS][A_3Sg][P_2Sg]	maliggliten
qaner-@%:(u)te[V→V]-–qar[V→V][V][Trns][Opt][PRS][A_3Sg][P_1Sg]	qanrutqerlia
ceńirte[V][Trns][Opt][PRS][A_3Du][P_3Sg]	ceńirrlignegu
ceńirte[V][Trns][Opt][PRS][A_3Du][P_3Sg]	ceńirrlinʼgu
qaner[V][Intr][Opt][FUT][S_3Sg]	qanqili
pi[V][Trns][Opt][FUT][A_3Sg][P_3Sg]	pikiliu
take-–piar[V→N][N][Abs][Unpd][Pl]	takpiat
tuar-–piar[V→N][Particle]	tuarpiaq
ecur-–piar[V→N][N][Abs][Unpd][Pl]	ecupiat
tangerr[V][Trns][Opt][PRS][A_1Sg][P_3Sg]=tuq[Encl]	tangerrlaku-tuq
tai[V][Intr][Opt][PRS][S_3Pl]=tuq[Encl]	tailit-tuq
tai[V][Intr][Opt][PRS][S_3Pl]=tuq[Encl]	tailistuq
ayag-@~+naur[V→V][V][Intr][Ind][S_1Pl]	ayagnaurtukut
ikayur[V][Intr][Ind][S_3Sg][V][Trns][Ind][A_1Sg][P_2Sg]	ikayurnauramken
ikayur[V][Intr][Ind][S_3Sg][V][Trns][Ind][A_1Sg][P_2Sg]	ikayurnaumken
ikayur[V][Intr][Ind][S_3Sg][V][Trns][Ind][A_1Sg][P_2Sg]	ikayurnaamken
avelngar-–rugar*[N→N][N][Abl_Mod][Unpd][Pl]	avelngarugarnek
yug-–rugar*[N→N][N][Abs][Unpd][Pl]	yugʼugaat
yug-–rugar*[N→N][N][Abs][Unpd][Pl]	yugugaat
kuuvviar-–rugar*[N→N][N][Abl_Mod][Unpd][Sg]	kuuvviarugarmek
igar-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	igarauq
qavar-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	qavarauq
ayag-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	ayagauq
mer-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	merauq
nuteg-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	nutʼgauq
apertur-–a/–ar/–aa/+a/+aar[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	apertuagaa
aqvaqur-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	aqvaquaguq
mayur-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	mayuaguq
irir-–a/–ar/–aa/+a/+aar[V→V][V][Intr][Ind][S_3Sg]	iriaguq
