nuna[N][Via][Unpd][Sg]	nunakun
nuna[N][Via][Unpd][Pl]	nunatgun
angyar[N][Via][Unpd][Sg]	angyakun
angyar[N][Via][Unpd][Pl]	angyatgun
kuig[N][Via][Unpd][Sg]	kuigkun
kuig[N][Via][Unpd][Pl]	kuigteggun
kassʼar[N][Equ][Unpd][Sg]	kassʼatun
kassʼar[N][Equ][Unpd][Pl]	kassʼacetun
yug[N][Equ][Unpd][Sg]	yugtun
yug[N][Equ][Unpd][Pl]	yugcetun
qimugte[N][Equ][Unpd][Sg]	qimugtetun
qimugte[N][Equ][Unpd][Sg]	qimugcetun
una[DemPro][Abs][Unpd][Sg]	una
uku[DemPro][Abs][Unpd][Pl]	ukut
uu[DemPro][Abl_Mod][Unpd][Sg]	uumek
mat[DemPro][Abs][Unpd][Sg]	manʼa
maku[DemPro][Abs][Unpd][Pl]	makut
matʼu[DemPro][Abl_Mod][Unpd][Sg]	matʼumek
tau[DemPro][Abs][Unpd][Sg]	tauna
tauku[DemPro][Abs][Unpd][Pl]	taukut
tau[DemPro][Abl_Mod][Unpd][Sg]	taumek
ing[DemPro][Abs][Unpd][Sg]	ingna
ingku[DemPro][Abs][Unpd][Pl]	ingkut
ingʼu[DemPro][Abl_Mod][Unpd][Sg]	ingʼumek
im[DemPro][Abs][Unpd][Sg]	imna
imku[DemPro][Abs][Unpd][Pl]	imkut
imʼu[DemPro][Abl_Mod][Unpd][Sg]	imʼumek
pik[DemPro][Abs][Unpd][Sg]	pikna
pikegku[DemPro][Abs][Unpd][Pl]	pikegkut
pikʼu[DemPro][Abl_Mod][Unpd][Sg]	pikʼumek
kat[DemPro][Abs][Unpd][Sg]	kanʼa
kanku[DemPro][Abs][Unpd][Pl]	kankut
katʼu[DemPro][Abl_Mod][Unpd][Sg]	katʼumek
au⁀g[DemPro][Abs][Unpd][Sg]	au⁀gna
au⁀gku[DemPro][Abs][Unpd][Pl]	au⁀gkut
au⁀gʼu[DemPro][Abl_Mod][Unpd][Sg]	au⁀gʼumek
kiug[DemPro][Abs][Unpd][Sg]	kiugna
kiugku[DemPro][Abs][Unpd][Pl]	kiugkut
kiugu[DemPro][Abl_Mod][Unpd][Sg]	kiugumek
ug[DemPro][Abs][Unpd][Sg]	ugna
ugku[DemPro][Abs][Unpd][Pl]	ugkut
ugʼu[DemPro][Abl_Mod][Unpd][Sg]	ugʼumek
maku[DemPro]-~+miu[N→N][N][Abs][Unpd][Sg]	makumiu
maku[DemPro]-~+miu[N→N][N][Abs][Unpd][Pl]	makumiut
wa[DemAdv][Loc]	wani
wa[DemAdv][Ter]	wavet
wa[DemAdv][Abl]	waken
uu[DemAdv][Via]	uuggun
maa[DemAdv][Loc]	maani
maa[DemAdv][Ter]	maavet
maa[DemAdv][Abl]	maaken
maa[DemAdv][Via]	maaggun
tua[DemAdv][Loc]	tuani
tua[DemAdv][Ter]	tuavet
tua[DemAdv][Abl]	tuaken
tua[DemAdv][Via]	tuaggun
yaa[DemAdv][Loc]	yaani
yaa[DemAdv][Ter]	yaavet
yaa[DemAdv][Abl]	yaaken
yaa[DemAdv][Via]	yaaggun
pika[DemAdv][Loc]	pikani
pika[DemAdv][Abl]	pikaken
kana[DemAdv][Loc]	kanani
ava[DemAdv][Loc]	avani
kia[DemAdv][Loc]	kiani
kia[DemAdv][Ter]	kiavet
kia[DemAdv][Abl]	kiaken
kia[DemAdv][Via]	kiaggun
ua[DemAdv][Loc]	uani
ua[DemAdv][Ter]	uavet
ua[DemAdv][Abl]	uaken
ua[DemAdv][Via]	uaggun
nuna[Loc][Unpd][Sg]-ete[V][Intr][Ind][S_3Sg]	nunametuq
pika[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	pikanetuq
pika[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	pikaʼantuq
angyar[Loc][Unpd][Sg]-ete[V][Intr][Ind][S_3Sg]	angyamtuq
kana[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	kanaʼantuq
yaa[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	yaantuq
maa[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	maantuq
ua[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	uantuq
kia[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	kiantuq
wa[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	wantuq
tua[DemAdv][Loc]-ete[V][Intr][Ind][S_3Sg]	tuantuq
kipusvig[Loc][Unpd][Sg]-ete[V][Intr][Ind][S_3Sg]	kipusvigmetuq
u[DemPro]-@+suuq[Voc][Unpd][Sg]	usuuq
au⁀g[DemPro]-@+suuq[Voc][Unpd][Sg]	au⁀gsuuq
pik[DemPro]-@+suuq[Voc][Unpd][Sg]	piksuuq
kat[DemPro]-@+suuq[Voc][Unpd][Sg]	kacuuq
kana[DemAdv]=i[Encl]	kana-i
tua[DemAdv]=i[Encl]	tua-i
tua[DemAdv]=i[Encl]=llu[Encl]	tua-i-llu
tua[DemAdv]=i[Encl]=qaa[Encl]	tua-i-qaa
tua[DemAdv]=i[Encl]-%:~(ng)u[N→V]-–nrite[V→V][V][Intr][Ind][S_3Sg]	tua-i-ngunrituq
wa-ten[DemAdv][Equ]	waten
tua-ten[DemAdv][Equ]	tuaten
maa-ten[DemAdv][Equ]	maaten
