kaig-@~+ni[V→V][V][Intr][Ind][S_3Sg]	kaigniuq
kaig-@~+ni[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kaignia
ayag-+ciqe/@ciiqe[V→V]-@~+ni[V→V][V][Intr][Ind][S_3Sg]	ayagciqniuq
ayag-+ciqe/@ciiqe[V→V]-@~+ni[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	ayagciqnia
kiag-–qapigte[V→V]-@~+ni[V→V][V][Intr][Ind][S_3Sg]	kaikapiggniuq
kaig-–nrite[V→V]-@~+ni[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	kainritnia
nunur-@~+yug[V→V]-@~+ni[V→V][V][Intr][Ind][S_3Sg]	nunuryugniuq
nunur-@~+yug[V→V]-@~+ni[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	nunuryugnia
ikayur-–llru[V→V]-@~+ni[V→V][V][Intr][Ind][S_3Sg]	ikayullruniuq
naulluu-@~+ni[V→V][V][Intr][Ind][S_3Sg]	naulluuniuq
naulluu-–llru[V→V]-@~+ni[V→V][V][Intr][Ind][S_3Sg]	naulluullruniuq
naulluu-@~+ni[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	naulluunillruuq
naulluu-–llru[V→V]-@~+ni[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	naulluullrunillruuq
ayag-+ciqe/@ciiqe[V→V]-@~+ni[V→V]-–llru[V→V]-@~+yugnarqe[V→V][V][Intr][Ind][S_3Sg]	ayagciqnillruyugnarquq
ayag-+ciqe/@ciiqe[V→V]-@~+yugnarqe[V→V]-@~+ni[V→V]-–llru[V→V][V][Intr][Ind][S_3Sg]	ayagciqsugnarqnillruuq
kaig-@~+ni[V→V][V][Intr][Sbrd][S_3Sg]	kaigniluni
kaig-@~+ni[V→V][V][Trns][Sbrd][P_3Sg]	kaigniluku
assir-@~+ni[V→V][V][Trns][Sbrd][P_3Sg]	assirniluku
nunur-@~+ni[V→V][V][Trns][Sbrd][P_3Sg]	nunuryugniluku
tai-+ciqe/@ciiqe[V→V]-@~+ni[V→V][V][Intr][Sbrd][S_3Sg]	taiciqniluni
nallunrite-@~+ni[V→V][V][Intr][Sbrd][S_3Sg]	nallunritniluten
puqig-@~+ni[V→V][V][Trns][Sbrd][P_3Pl]	puqigniluki
pinir-@~+yuke[V→V][V][Intr][Ind][S_3Sg]	piniryukuq
pinir-@~+yuke[V→V][V][Intr][Sbrd][S_3Sg]	piniryukluni
tuqu-:(u/i)ma[V→V]-@~+yuke[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	tuqumayukanka
tuqu-:(u/i)ma[V→V]-@~+yuke[V→V][V][Trns][Sbrd][P_3Pl]	tuqumayukluki
tuqu-@:(u)te[V→V]-–llru[V→V]-@~+yuke[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	tuqutellruyukanka
tuqu-@:(u)te[V→V]-–llru[V→V]-@~+yuke[V→V][V][Trns][Sbrd][P_3Pl]	tuqutellruyukluki
tuqu-@~+nayuke[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	tuqunayukanka
tuqu-@~+nayuke[V→V][V][Trns][Sbrd][P_3Pl]	tuqunayukluki
ikayur-@~+yug[V→V]-@~+ni[V→V][V][Trns][Sbrd][P_3Sg]	ikayuryugniluku
ikayur-@~+nayuke[V→V][V][Trns][Sbrd][P_3Sg]	ikayurnayukluku
nere-–sqe[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	neresqanka
nere-–sqe[V→V][V][Trns][Sbrd][P_3Pl]	neresqelluki
nere-–sqe[V→V]-:(u/i)ma[V→V][V][Trns][Ind][A_1Sg][P_3Pl]	neresqumaanka
inarte-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	inarcesqaa
iter-%%(e)sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	itresqaa
iter-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	itesqaa
eqiur-%%(e)sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	eqiuresqaa
eqiur-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	eqiusqaa
qavar-%%(e)sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	qavaasqaa
qavar-–sqe[V→V][V][Trns][Ind][A_3Sg][P_3Sg]	qavasqaa
